Test Name,Test ID,Algorithm Name,Degree,timeIntervalSizeSec,segmentSizeSec,Tmin Factor,numberOfPointsPerSegment,initialNumberOfPoints,Number of Points,runTimeSec,runTimeMicro,numberOfIterations,avgTimeMicro,minTimeMicro,TCA Distance,TCA Time,TOLd,TOLt
COSMOS 44_OPS 5712 (P/L 160)      ,1,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.361246999999999984787280027376,361247.000000000000000000000000000000,10,343118.900000000023283064365386962891,340888.000000000000000000000000000000,3221.761665822799386660335585474968,2418716.523488040082156658172607421875,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_SURCAL 150B             ,2,CATCH_Eigen,15,2419200.000000000000000000000000000000,365.530609468592103894479805603623,0.062500000000000000000000000000,16,99271,99271,0.343523999999999996024513393422,343524.000000000000000000000000000000,10,338463.400000000023283064365386962891,337763.000000000000000000000000000000,35.169673772840880587864376138896,721338.202922779018990695476531982422,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_RIGIDSPHERE 2 (LCS 4)   ,3,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.346540999999999987934984346793,346541.000000000000000000000000000000,10,334574.200000000011641532182693481445,333051.000000000000000000000000000000,9.764416174974218876059239846654,628497.081011903239414095878601074219,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_UOSAT 2 (UO-11)         ,4,CATCH_Eigen,15,2419200.000000000000000000000000000000,363.341092845712125836143968626857,0.062500000000000000000000000000,16,99871,99871,0.349646000000000012342127320153,349646.000000000000000000000000000000,10,339856.700000000011641532182693481445,338561.000000000000000000000000000000,5.343412883542387525892536359606,2353567.164473135024309158325195312500,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_SCD 1                   ,5,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.349737999999999993328003711213,349738.000000000000000000000000000000,10,337045.500000000000000000000000000000,335499.000000000000000000000000000000,24.992266580047576951528753852472,1571964.798692391486838459968566894531,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_ORBCOMM FM11            ,6,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.346117999999999981231013634897,346118.000000000000000000000000000000,10,335536.799999999988358467817306518555,334211.000000000000000000000000000000,108.571609407899643429118441417813,33086.448018479663005564361810684204,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_ORBCOMM FM06            ,7,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.354379999999999972803976788782,354380.000000000000000000000000000000,10,336672.799999999988358467817306518555,334463.000000000000000000000000000000,20.637556233179036979663578676991,1630898.789363466436043381690979003906,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_ORBCOMM FM04            ,8,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.340258000000000004892086735708,340258.000000000000000000000000000000,10,335070.900000000023283064365386962891,334322.000000000000000000000000000000,48.900057817458517206432588864118,2127075.075686540454626083374023437500,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_SCD 2                   ,9,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.348476000000000007972289495228,348476.000000000000000000000000000000,10,337210.700000000011641532182693481445,335816.000000000000000000000000000000,57.407127619672330354205769253895,1591940.126855653477832674980163574219,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_LANDSAT 7               ,10,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.343115999999999976566300574632,343116.000000000000000000000000000000,10,335333.000000000000000000000000000000,334252.000000000000000000000000000000,2040.435458264121962201897986233234,874082.714201874565333127975463867188,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_DLR-TUBSAT              ,11,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.356721000000000010299316954843,356721.000000000000000000000000000000,10,336191.900000000023283064365386962891,333743.000000000000000000000000000000,27.650286914621666767288843402639,1255037.213901032926514744758605957031,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_TERRA                   ,12,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.349831000000000003069544618484,349831.000000000000000000000000000000,10,335441.900000000023283064365386962891,333629.000000000000000000000000000000,64.069140686362558767541486304253,1808971.240550817223265767097473144531,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_PROBA-1                 ,13,CATCH_Eigen,15,2419200.000000000000000000000000000000,359.924560531961560627678409218788,0.062500000000000000000000000000,16,100816,100816,0.362926999999999999602096067974,362927.000000000000000000000000000000,10,344786.099999999976716935634613037109,342569.000000000000000000000000000000,15.546860448020829892357141943648,904101.526615741197019815444946289062,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_TIMED                   ,14,CATCH_Eigen,15,2419200.000000000000000000000000000000,362.194280887512206845713080838323,0.062500000000000000000000000000,16,100186,100186,0.356613999999999986556531439419,356614.000000000000000000000000000000,10,342468.299999999988358467817306518555,340699.000000000000000000000000000000,51.410991127579499959665554342791,1409734.049938180018216371536254882812,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_AQUA                    ,15,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.341812999999999977962517050400,341813.000000000000000000000000000000,10,335362.200000000011641532182693481445,334374.000000000000000000000000000000,67.772314424516011399646231438965,1178090.214977561030536890029907226562,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_LATINSAT B              ,16,CATCH_Eigen,15,2419200.000000000000000000000000000000,366.304977787330585670133586972952,0.062500000000000000000000000000,16,99061,99061,0.341820999999999985963228255059,341821.000000000000000000000000000000,10,336671.000000000000000000000000000000,335992.000000000000000000000000000000,24.910734709604078318534448044375,2342433.675602960865944623947143554688,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_SAUDISAT 1C (SO-50)     ,17,CATCH_Eigen,15,2419200.000000000000000000000000000000,365.235883814693977456045104190707,0.062500000000000000000000000000,16,99346,99346,0.345621999999999984787280027376,345622.000000000000000000000000000000,10,338800.599999999976716935634613037109,337813.000000000000000000000000000000,16.589242163475969249475383548997,1581130.806157975690439343452453613281,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_LATINSAT A              ,18,CATCH_Eigen,15,2419200.000000000000000000000000000000,364.419888482655153438827255740762,0.062500000000000000000000000000,16,99571,99571,0.359007000000000020545343204503,359007.000000000000000000000000000000,10,339667.000000000000000000000000000000,337369.000000000000000000000000000000,66.973285291965154897297907155007,797800.599918168969452381134033203125,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_SORCE                   ,19,CATCH_Eigen,15,2419200.000000000000000000000000000000,361.390984019470749899483053013682,0.062500000000000000000000000000,16,100411,100411,0.351634000000000002117417352565,351634.000000000000000000000000000000,10,343413.000000000000000000000000000000,342352.000000000000000000000000000000,79.045621192914623520664463285357,474320.580745340848807245492935180664,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_SCISAT 1                ,20,CATCH_Eigen,15,2419200.000000000000000000000000000000,365.133022997761486294621136039495,0.062500000000000000000000000000,16,99376,99376,0.349227000000000009638512210586,349227.000000000000000000000000000000,10,339434.700000000011641532182693481445,338056.000000000000000000000000000000,26.322360741809458062334670103155,2077717.320433513727039098739624023438,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_MOZHAYETS 4 (RS-22)     ,21,CATCH_Eigen,15,2419200.000000000000000000000000000000,367.475048076760572257626336067915,0.062500000000000000000000000000,16,98746,98746,0.353752000000000010881961998166,353752.000000000000000000000000000000,10,336337.799999999988358467817306518555,334218.000000000000000000000000000000,21.759104619885789588806801475585,1536031.347299886867403984069824218750,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_LARETS                  ,22,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.355957999999999996632027432497,355958.000000000000000000000000000000,10,337024.200000000011641532182693481445,334808.000000000000000000000000000000,5140.480173550073232036083936691284,5060.567844481841348169837146997452,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_IRS-P6 (RESOURCESAT-1)  ,23,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.348600999999999994205523989876,348601.000000000000000000000000000000,10,334814.099999999976716935634613037109,333103.000000000000000000000000000000,35.960332379745366893075697589666,935809.694685453898273408412933349609,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_CHUANGXIN 1 (CX-1)      ,24,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.338843999999999978545162093724,338844.000000000000000000000000000000,10,335436.099999999976716935634613037109,334854.000000000000000000000000000000,25.734478212089364035364269511774,1030097.226046971045434474945068359375,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_APRIZESAT 2             ,25,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.355115000000000013979928326080,355115.000000000000000000000000000000,10,335976.599999999976716935634613037109,333616.000000000000000000000000000000,52.155330837027563006813579704612,276290.356224085320718586444854736328,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_SAUDICOMSAT 1           ,26,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.358875999999999972800424075103,358876.000000000000000000000000000000,10,337357.099999999976716935634613037109,334725.000000000000000000000000000000,7.602931961782725345244671188993,1072431.889541644137352705001831054688,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_SAUDICOMSAT 2           ,27,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.349243000000000025639934619903,349243.000000000000000000000000000000,10,335710.599999999976716935634613037109,334022.000000000000000000000000000000,15.165609135201831847439279954415,1373828.778674322413280606269836425781,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_SAUDISAT 2              ,28,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.354789999999999994262367408737,354790.000000000000000000000000000000,10,335632.000000000000000000000000000000,333317.000000000000000000000000000000,62.388199994942439730039041023701,2362798.147211793810129165649414062500,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_APRIZESAT 1             ,29,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.354837000000000013510970120478,354837.000000000000000000000000000000,10,336490.200000000011641532182693481445,334206.000000000000000000000000000000,18.825609717104583751279278658330,1672262.191527583636343479156494140625,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_AURA                    ,30,CATCH_Eigen,15,2419200.000000000000000000000000000000,368.540189929111477340484270825982,0.062500000000000000000000000000,16,98461,98461,0.349596000000000017848833522294,349596.000000000000000000000000000000,10,336293.400000000023283064365386962891,334717.000000000000000000000000000000,70.987544200437795893776637967676,1071833.541480612009763717651367187500,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_NANOSAT-1               ,31,CATCH_Eigen,15,2419200.000000000000000000000000000000,365.843072138581192120909690856934,0.062500000000000000000000000000,16,99181,99181,0.339944999999999997175592625354,339945.000000000000000000000000000000,10,337234.500000000000000000000000000000,336629.000000000000000000000000000000,27.720034650514801199960857047699,1670842.209678927669301629066467285156,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_IRS-P5 (CARTOSAT-1)     ,32,CATCH_Eigen,15,2419200.000000000000000000000000000000,363.276609220153318347001913934946,0.062500000000000000000000000000,16,99886,99886,0.349078999999999972647657386915,349079.000000000000000000000000000000,10,341101.200000000011641532182693481445,340051.000000000000000000000000000000,8.112945828137281267800062778406,13882.813851771297777304425835609436,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 44_REIMEI (INDEX)          ,33,CATCH_Eigen,15,2419200.000000000000000000000000000000,360.807903980351966310990974307060,0.062500000000000000000000000000,16,100561,100561,0.352930999999999994720667473302,352931.000000000000000000000000000000,10,343094.000000000000000000000000000000,341594.000000000000000000000000000000,32.439660281610272818397788796574,543925.569221770158037543296813964844,0.000000000000000000000000000000,0.000000000000000000000000000000
