Test ID,Test Name,Algorithm Name,numberOfPointsPerSegment,Catch Polynomial Degree,Time Interval[Sec],Segment Size[Sec],Tmin Factor,Number Of Input Points,Number Of Iterations,TOLd[Km],TOLt[Sec],Run Time[Sec],Run Time[Micro],Avg Run Time[Micro],Min Run Time[Micro],TCA Distance[Km],TCA[Sec],Real TCA Distance[Km],Real TCA[Sec],Error Time[Sec],Error Distance[Km],Number of Points Used
2217,STARLINK-30375          _STARLINK-30835          ,CATCH,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.354225000000000012079226507922,354225.000000000000000000000000000000,340196.700000000011641532182693481445,333871.000000000000000000000000000000,7500.035484627943333180155605077744,2417046.605424990877509117126464843750,7500.035484620643728703726083040237,2417046.604401241056621074676513671875,0.001023749820888042449951171875,0.000000007299604476429522037506,100966
2218,STARLINK-30375          _STARLINK-30792          ,CATCH,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.387849999999999972555286831266,387850.000000000000000000000000000000,341365.799999999988358467817306518555,334562.000000000000000000000000000000,9678.557066850071350927464663982391,2417141.072130738757550716400146484375,9678.557066133033004007302224636078,2417141.107768906280398368835449218750,0.035638167522847652435302734375,0.000000717038346920162439346313,100966
2219,STARLINK-30375          _STARLINK-30836          ,CATCH,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.336857999999999990770049862476,336858.000000000000000000000000000000,335871.000000000000000000000000000000,333689.000000000000000000000000000000,10697.413622578391368733718991279602,2417319.140589687041938304901123046875,10697.413622202013357309624552726746,2417319.168296512216329574584960937500,0.027706825174391269683837890625,0.000000376378011424094438552856,100966
2220,STARLINK-30375          _STARLINK-30855          ,CATCH,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.341864999999999974455988649424,341865.000000000000000000000000000000,337350.299999999988358467817306518555,334988.000000000000000000000000000000,13416.391482663508213590830564498901,2778.683343409738881746307015419006,13416.390025696686279843561351299286,2776.772544868654676974983885884285,1.910798541084204771323129534721,0.001456966821933747269213199615,100966
2221,STARLINK-30375          _STARLINK-30840          ,CATCH,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.357569999999999998951949464754,357570.000000000000000000000000000000,338796.599999999976716935634613037109,334812.000000000000000000000000000000,12958.807396599926505587063729763031,2918.632129000482564151752740144730,12958.805386673533575958572328090668,2920.837704605365161114605143666267,2.205575604882596962852403521538,0.002009926392929628491401672363,100966
2222,STARLINK-30375          _STARLINK-30875          ,CATCH,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.335793999999999981387333036764,335794.000000000000000000000000000000,340681.700000000011641532182693481445,335117.000000000000000000000000000000,2004.150038774954964537755586206913,2413608.077892942354083061218261718750,2004.150035148332108292379416525364,2413608.114929717965424060821533203125,0.037036775611340999603271484375,0.000003626622856245376169681549,100966
2223,STARLINK-30375          _STARLINK-30865          ,CATCH,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.353063000000000015710099887656,353063.000000000000000000000000000000,337840.200000000011641532182693481445,334417.000000000000000000000000000000,4474.388034321874329179991036653519,3851.224873451541952817933633923531,4474.388004481032112380489706993103,3851.449722830012433405499905347824,0.224849378470480587566271424294,0.000029840842216799501329660416,100966
2224,STARLINK-30375          _STARLINK-30874          ,CATCH,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.356350999999999973333331126923,356351.000000000000000000000000000000,338133.900000000023283064365386962891,334266.000000000000000000000000000000,12057.448918464013331686146557331085,2417436.055181975010782480239868164062,12057.448917991414418793283402919769,2417436.022382460534572601318359375000,0.032799514476209878921508789062,0.000000472598912892863154411316,100966
2225,STARLINK-30375          _STARLINK-30871          ,CATCH,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.341374999999999984012788445398,341375.000000000000000000000000000000,336758.200000000011641532182693481445,334505.000000000000000000000000000000,13035.109230595378903672099113464355,2417541.661812907550483942031860351562,13035.109230241281693452037870883942,2417541.631832757499068975448608398438,0.029980150051414966583251953125,0.000000354097210220061242580414,100966
2226,STARLINK-30375          _STARLINK-30861          ,CATCH,16,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,100966,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.339048999999999989274357403701,339049.000000000000000000000000000000,336435.799999999988358467817306518555,334259.000000000000000000000000000000,8770.190502465169629431329667568207,2574.997355190152120485436171293259,8770.190185381790797691792249679565,2574.742593210836275829933583736420,0.254761979315844655502587556839,0.000317083378831739537417888641,100966
