Test Name,Test ID,Algorithm Name,Degree,timeIntervalSizeSec,segmentSizeSec,Tmin Factor,numberOfPointsPerSegment,initialNumberOfPoints,Number of Points,runTimeSec,runTimeMicro,numberOfIterations,avgTimeMicro,minTimeMicro,TCA Distance,TCA Time,TOLd,TOLt
CALSPHERE 1             _CALSPHERE 2             ,1,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.019972000000000000169420033558,19972.000000000000000000000000000000,10,15993.799999999999272404238581657410,12246.000000000000000000000000000000,76.901469718695651067719154525548,2379289.916131889447569847106933593750,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _LCS 1                   ,2,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.012566000000000000780264741707,12566.000000000000000000000000000000,10,12477.299999999999272404238581657410,12427.000000000000000000000000000000,1781.725710984185752749908715486526,954118.973615251481533050537109375000,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _TEMPSAT 1               ,3,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.012583000000000000434541291838,12583.000000000000000000000000000000,10,12515.600000000000363797880709171295,12483.000000000000000000000000000000,118.212309208076021604938432574272,2171895.694716411177068948745727539062,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _CALSPHERE 4A            ,4,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.012704999999999999280020368531,12705.000000000000000000000000000000,10,12616.399999999999636202119290828705,12559.000000000000000000000000000000,117.995522137847274279920384287834,837221.084983510663732886314392089844,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OPS 5712 (P/L 160)      ,5,ANCAS,15,2419200.000000000000000000000000000000,2963.616450553603499429300427436829,0.500000000000000000000000000000,16,12241,12238,0.021580999999999999489075364068,21581.000000000000000000000000000000,10,16473.099999999998544808477163314819,13333.000000000000000000000000000000,284.619158005373208197852363809943,1720458.588177549187093973159790039062,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _CALSPHERE 2             ,6,CATCH_Eigen,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11536,0.044519999999999997075672553137,44520.000000000000000000000000000000,10,44174.000000000000000000000000000000,44092.000000000000000000000000000000,76.917167128818732635409105569124,2379290.112843331415206193923950195312,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _LCS 1                   ,7,CATCH_Eigen,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11536,0.044158999999999996866062446088,44159.000000000000000000000000000000,10,43886.099999999998544808477163314819,43811.000000000000000000000000000000,1781.930267836933353464701212942600,954119.020487960544414818286895751953,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _TEMPSAT 1               ,8,CATCH_Eigen,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11536,0.044095000000000002249311847891,44095.000000000000000000000000000000,10,46077.199999999997089616954326629639,43706.000000000000000000000000000000,118.205487522373459796654060482979,2171895.851487169973552227020263671875,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _CALSPHERE 4A            ,9,CATCH_Eigen,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11536,0.044089999999999997248867344979,44090.000000000000000000000000000000,10,43902.800000000002910383045673370361,43828.000000000000000000000000000000,118.018188629138094825066218618304,837221.187647952698171138763427734375,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OPS 5712 (P/L 160)      ,10,CATCH_Eigen,15,2419200.000000000000000000000000000000,2963.616450553603499429300427436829,0.500000000000000000000000000000,16,12241,12241,0.047264000000000000456523707726,47264.000000000000000000000000000000,10,47030.500000000000000000000000000000,46949.000000000000000000000000000000,284.601244707281125556619372218847,1720458.601900342386215925216674804688,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _CALSPHERE 2             ,11,CATCH_Eigen,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11536,0.044416999999999998149924351765,44417.000000000000000000000000000000,10,47566.800000000002910383045673370361,44098.000000000000000000000000000000,76.917167128818732635409105569124,2379290.112843331415206193923950195312,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _LCS 1                   ,12,CATCH_Eigen,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11536,0.043978000000000003200106846180,43978.000000000000000000000000000000,10,43858.099999999998544808477163314819,43788.000000000000000000000000000000,1781.930267836933353464701212942600,954119.020487960544414818286895751953,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _TEMPSAT 1               ,13,CATCH_Eigen,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11536,0.043983000000000001261657445184,43983.000000000000000000000000000000,10,43748.900000000001455191522836685181,43689.000000000000000000000000000000,118.205487522373459796654060482979,2171895.851487169973552227020263671875,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _CALSPHERE 4A            ,14,CATCH_Eigen,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11536,0.044368999999999998717914451163,44369.000000000000000000000000000000,10,45953.199999999997089616954326629639,43888.000000000000000000000000000000,118.018188629138094825066218618304,837221.187647952698171138763427734375,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OPS 5712 (P/L 160)      ,15,CATCH_Eigen,15,2419200.000000000000000000000000000000,2963.616450553603499429300427436829,0.500000000000000000000000000000,16,12241,12241,0.047399999999999997690736108780,47400.000000000000000000000000000000,10,47048.500000000000000000000000000000,46928.000000000000000000000000000000,284.601244707281125556619372218847,1720458.601900342386215925216674804688,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _CALSPHERE 2             ,16,SBO ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,12636,0.013979999999999999371613768062,13980.000000000000000000000000000000,10,13908.399999999999636202119290828705,13841.000000000000000000000000000000,76.917167127388452740888169500977,2379290.112840192392468452453613281250,0.000000010000000000000000209226,0.000100000000000000004792173602
CALSPHERE 1             _LCS 1                   ,17,SBO ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,17888,0.021740999999999999908739667376,21741.000000000000000000000000000000,10,25043.599999999998544808477163314819,21492.000000000000000000000000000000,1781.930267850309519417351111769676
