Test ID,Test Name,Algorithm Name,numberOfPointsPerSegment,Catch Polynomial Degree,Time Interval[Sec],Segment Size[Sec],Tmin Factor,Number Of Input Points,Number Of Iterations,TOLd[Km],TOLt[Sec],Run Time[Sec],Run Time[Micro],Avg Run Time[Micro],Min Run Time[Micro],TCA Distance[Km],TCA[Sec],Real TCA Distance[Km],Real TCA[Sec],Error Time[Sec],Error Distance[Km],Number of Points Used
1,STARLINK-30375          _SURCAL 150B             ,ANCAS,8,7,2419200.000000000000000000000000000000,716.764153416276371899584773927927,8,23626,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.037575999999999998291144720497,37576.000000000000000000000000000000,28479.000000000000000000000000000000,25164.000000000000000000000000000000,26.161130009981562238863261882216,969048.641534923808649182319641113281,26.161069819626920462951602530666,969048.642345219617709517478942871094,0.000810295809060335159301757812,0.000060190354641775911659351550,23623
2,STARLINK-30375          _USA 119                 ,ANCAS,8,7,2419200.000000000000000000000000000000,718.773700190105500951176509261131,8,23556,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.026161000000000000226263452419,26161.000000000000000000000000000000,26053.900000000001455191522836685181,25977.000000000000000000000000000000,58.560864565502676271080417791381,1716001.553508768323808908462524414062,58.562881873104316809985903091729,1716001.559193754335865378379821777344,0.005684986012056469917297363281,0.002017307601640538905485300347,23554
3,STARLINK-30375          _SWAS                    ,ANCAS,8,7,2419200.000000000000000000000000000000,717.762194048456535711011383682489,8,23591,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.040425000000000002597921877623,40425.000000000000000000000000000000,28280.799999999999272404238581657410,24948.000000000000000000000000000000,12335.941257666154342587105929851532,2417319.147723091766238212585449218750,12335.939036648991532274521887302399,2417319.152527477126568555831909179688,0.004804385360330343246459960938,0.002221017162810312584042549133,23590
4,STARLINK-30375          _PROBA-1                 ,ANCAS,8,7,2419200.000000000000000000000000000000,717.921849808712067897431552410126,8,23584,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.026872000000000000052846615972,26872.000000000000000000000000000000,25685.400000000001455191522836685181,25189.000000000000000000000000000000,4454.532002217237277363892644643784,1955082.037367137148976325988769531250,4454.511631798727648856583982706070,1960828.030083085177466273307800292969,5745.992715948028489947319030761719,0.020370418509628507308661937714,23581
5,STARLINK-30375          _SORCE                   ,ANCAS,8,7,2419200.000000000000000000000000000000,718.773700190105500951176509261131,8,23556,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.040788999999999998868904782512,40789.000000000000000000000000000000,27691.000000000000000000000000000000,25207.000000000000000000000000000000,20.024263713095137973141390830278,44426.191111562206060625612735748291,20.024559044403737573247781256214,44426.196222074831894133239984512329,0.005110512625833507627248764038,0.000295331308599600106390425935,23554
6,STARLINK-30375          _SHIJIAN-6 01B (SJ-6 01B),ANCAS,8,7,2419200.000000000000000000000000000000,718.773700190105500951176509261131,8,23556,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.025236000000000001486366585368,25236.000000000000000000000000000000,25137.500000000000000000000000000000,25071.000000000000000000000000000000,3925.827292578956985380500555038452,1756482.799982840428128838539123535156,3925.820176488790366420289501547813,1756482.803405127720907330513000488281,0.003422287292778491973876953125,0.007116090166618960211053490639,23554
7,STARLINK-30375          _JB-3 3 (ZY 2C)          ,ANCAS,8,7,2419200.000000000000000000000000000000,713.241677062510802898032125085592,8,23738,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.041698999999999999954702900595,41699.000000000000000000000000000000,28946.400000000001455191522836685181,25308.000000000000000000000000000000,27.266977816943281709427537862211,1155396.867253776639699935913085937500,27.267855770299448181503976229578,1155396.860214161686599254608154296875,0.007039614953100681304931640625,0.000877953356166472076438367367,23737
8,STARLINK-30375          _HELIOS 2A               ,ANCAS,8,7,2419200.000000000000000000000000000000,718.773700190105500951176509261131,8,23556,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.025171999999999999930722083263,25172.000000000000000000000000000000,25034.799999999999272404238581657410,24969.000000000000000000000000000000,11.238447431531838560658798087388,1043625.767218073015101253986358642578,11.237631469863751831894660426769,1043625.757331591797992587089538574219,0.009886481217108666896820068359,0.000815961668086728764137660619,23554
9,STARLINK-30375          _REIMEI (INDEX)          ,ANCAS,8,7,2419200.000000000000000000000000000000,718.207182502749333252722863107920,8,23577,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.038645999999999999796607141889,38646.000000000000000000000000000000,31453.299999999999272404238581657410,25281.000000000000000000000000000000,4528.237080995571886887773871421814,696948.236648404039442539215087890625,4528.275769022558051801752299070358,694073.308393660350702702999114990234,2874.928254743688739836215972900391,0.038688026986164913978427648544,23575
10,STARLINK-30375          _SHIJIAN-6 02B (SJ-6 02B),ANCAS,8,7,2419200.000000000000000000000000000000,718.773700190105500951176509261131,8,23556,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.025232000000000000955457934992,25232.000000000000000000000000000000,25048.000000000000000000000000000000,24965.000000000000000000000000000000,14.560662612615363542545310338028,306267.039261165366042405366897583008,14.560677079312341675176867283881,306267.044077628990635275840759277344,0.004816463624592870473861694336,0.000014466696978132631556945853,23554
