Test Name,Test ID,Algorithm Name,Degree,timeIntervalSizeSec,segmentSizeSec,Tmin Factor,numberOfPointsPerSegment,initialNumberOfPoints,Number of Points,runTimeSec,runTimeMicro,numberOfIterations,avgTimeMicro,minTimeMicro,TCA Distance,TCA Time,TOLd,TOLt
COSMOS 2024 (ETALON 2)  _PHASE 3B (AO-10)        ,1,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.035666999999999997317257083296,35667.000000000000000000000000000000,10,27247.799999999999272404238581657410,23650.000000000000000000000000000000,1551.301921017410677450243383646011,851445.211564091267064213752746582031,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _COSMOS 1989 (ETALON 1)  ,2,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.028437000000000000471400696256,28437.000000000000000000000000000000,10,22510.200000000000727595761418342590,18888.000000000000000000000000000000,380.097324619269954837363911792636,33133.566571776034834329038858413696,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _COSMOS 2024 (ETALON 2)  ,3,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.029513000000000001038502617234,29513.000000000000000000000000000000,10,20967.000000000000000000000000000000,18111.000000000000000000000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _POLAR                   ,4,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.030297000000000001013189532273,30297.000000000000000000000000000000,10,23370.900000000001455191522836685181,19888.000000000000000000000000000000,2208.796271907014215685194358229637,1324424.765818166779354214668273925781,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _CXO                     ,5,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.031817999999999999061195410377,31818.000000000000000000000000000000,10,23349.799999999999272404238581657410,19701.000000000000000000000000000000,5656.784324517918321362230926752090,1821473.879993794951587915420532226562,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _IMAGE                   ,6,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.031168000000000001259436999135,31168.000000000000000000000000000000,10,23672.400000000001455191522836685181,20147.000000000000000000000000000000,7514.263983057833684142678976058960,883364.432832440361380577087402343750,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _CLUSTER II-FM7 (SAMBA)  ,7,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.032729000000000001147082429043,32729.000000000000000000000000000000,10,22450.599999999998544808477163314819,20113.000000000000000000000000000000,13238.159608830399520229548215866089,771533.925240362179465591907501220703,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _CLUSTER II-FM8 (TANGO)  ,8,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.032274999999999998134825318630,32275.000000000000000000000000000000,10,23892.500000000000000000000000000000,20137.000000000000000000000000000000,12222.656350158846180420368909835815,388858.996139837487135082483291625977,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _INTEGRAL                ,9,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.032055000000000000159872115546,32055.000000000000000000000000000000,10,21865.200000000000727595761418342590,19813.000000000000000000000000000000,13514.767317968211500556208193302155,2129702.315135033335536718368530273438,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _THEMIS A                ,10,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.034978000000000002145394972786,34978.000000000000000000000000000000,10,25889.200000000000727595761418342590,21930.000000000000000000000000000000,8291.213921363580084289424121379852,361956.136818378698080778121948242188,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _THEMIS D                ,11,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.035278999999999997860822276152,35279.000000000000000000000000000000,10,24476.200000000000727595761418342590,21908.000000000000000000000000000000,2926.940873440852556086611002683640,2417005.109828893095254898071289062500,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _THEMIS E                ,12,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.033800999999999997713828747692,33801.000000000000000000000000000000,10,25553.299999999999272404238581657410,22010.000000000000000000000000000000,8138.177307446830127446446567773819,2228799.184472658205777406692504882812,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _COSMOS 2433 [GLONASS-M] ,13,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.029614999999999998964161918025,29615.000000000000000000000000000000,10,20307.500000000000000000000000000000,18348.000000000000000000000000000000,38838.039578854601131752133369445801,34163.508528504346031695604324340820,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _COSMOS 2432 [GLONASS-M] ,14,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.029430999999999998828492664416,29431.000000000000000000000000000000,10,22600.700000000000727595761418342590,18927.000000000000000000000000000000,49589.590647303746663965284824371338,37509.137736390570353250950574874878,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _COSMOS 2434 [GLONASS-M] ,15,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.030276999999999998358646280394,30277.000000000000000000000000000000,10,20833.700000000000727595761418342590,18756.000000000000000000000000000000,17974.949634323118516476824879646301,2386273.303242146968841552734375000000,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _COSMOS 2436 [GLONASS-M] ,16,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.029181999999999999606536960073,29182.000000000000000000000000000000,10,22347.299999999999272404238581657410,18773.000000000000000000000000000000,30628.262312858725636033341288566589,33051.723103737378551159054040908813,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _SPIRALE B               ,17,ANCAS,15,2419200.000000000000000000000000000000,1799.766564277391353243729099631310,0.062500000000000000000000000000,16,20161,20158,0.043311000000000002274624932852,43311.000000000000000000000000000000,10,32132.799999999999272404238581657410,28761.000000000000000000000000000000,2414.434450847633797820890322327614,1801582.910867049591615796089172363281,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _COSMOS 2456 [GLONASS-M] ,18,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.030468999999999999556132834755,30469.000000000000000000000000000000,10,20585.700000000000727595761418342590,18744.000000000000000000000000000000,2220.566363467582505109021440148354,2398761.959729854017496109008789062500,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _COSMOS 2457 [GLONASS-M] ,19,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.028749000000000000248912002121,28749.000000000000000000000000000000,10,22339.599999999998544808477163314819,18780.000000000000000000000000000000,29622.485714941984042525291442871094,2395768.071281927172094583511352539062,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _COSMOS 2460 [GLONASS-M] ,20,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.030451999999999999901856284623,30452.000000000000000000000000000000,10,22796.200000000000727595761418342590,18870.000000000000000000000000000000,27012.006666368626611074432730674744,2398821.122527826111763715744018554688,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _COSMOS 2476 [GLONASS-M] ,21,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.030460999999999998494315534003,30461.000000000000000000000000000000,10,20976.799999999999272404238581657410,18807.000000000000000000000000000000,17605.490056459257175447419285774231,31999.483173996337427524849772453308,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _COSMOS 2477 [GLONASS-M] ,22,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.030706000000000000654809539924,30706.000000000000000000000000000000,10,22680.599999999998544808477163314819,18838.000000000000000000000000000000,23761.741336825703911017626523971558,2398075.811519505456089973449707031250,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _COSMOS 2475 [GLONASS-M] ,23,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.030555999999999999827693386578,30556.000000000000000000000000000000,10,22448.299999999999272404238581657410,18880.000000000000000000000000000000,14806.920209696936581167392432689667,2400494.528190837707370519638061523438,0.000000000000000000000000000000,0.000000000000000000000000000000
COSMOS 2024 (ETALON 2)  _COSMOS 2485 [GLONASS-M] ,24,ANCAS,15,2419200.000000000000000000000000000000,2532.781177030691196705447509884834,0.062500000000000000000000000000,16,14326,14323,0.029364000000000001211475364471,29364.000000000000000000000000000000,10,22436.799999999999272404238581657410,18814.000000000000000000000000000000,6182.342407869852650037501007318497,34379.488275934010744094848632812500,0.000000000000000000000000000000,0.000000000000000000000000000000
