Test ID,Test Name,Algorithm Name,numberOfPointsPerSegment,Catch Polynomial Degree,Time Interval[Sec],Segment Size[Sec],Tmin Factor,Number Of Input Points,Number Of Iterations,TOLd[Km],TOLt[Sec],Run Time[Sec],Run Time[Micro],Avg Run Time[Micro],Min Run Time[Micro],TCA Distance[Km],TCA[Sec],Real TCA Distance[Km],Real TCA[Sec],Error Time[Sec],Error Distance[Km],Number of Points Used
1,STARLINK-30375          _SURCAL 150B             ,SBO ANCAS,16,15,2419200.000000000000000000000000000000,716.764153416276371899584773927927,8,50626,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.073483000000000006646239114616,73483.000000000000000000000000000000,63908.199999999997089616954326629639,62784.000000000000000000000000000000,26.161069822076900237561858375557,969048.642343273619189858436584472656,26.161069819621001641962720896117,969048.642345220083370804786682128906,0.000001946464180946350097656250,0.000000002455898595599137479439,57299
2,STARLINK-30375          _USA 119                 ,SBO ANCAS,16,15,2419200.000000000000000000000000000000,718.773700190105500951176509261131,8,50476,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.087280999999999997474020574373,87281.000000000000000000000000000000,63992.900000000001455191522836685181,61331.000000000000000000000000000000,58.562882336936134208826842950657,1716001.556708506541326642036437988281,58.562881873104316809985903091729,1716001.559193754335865378379821777344,0.002485247794538736343383789062,0.000000463831817398840939858928,54804
3,STARLINK-30375          _SWAS                    ,SBO ANCAS,16,15,2419200.000000000000000000000000000000,717.762194048456535711011383682489,8,50551,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.093039999999999997704058785075,93040.000000000000000000000000000000,65345.400000000001455191522836685181,62208.000000000000000000000000000000,12335.939036683676022221334278583527,2417319.147842212580144405364990234375,12335.939036648991532274521887302399,2417319.152527477126568555831909179688,0.004685264546424150466918945312,0.000000034684489946812391281128,57122
4,STARLINK-30375          _PROBA-1                 ,SBO ANCAS,16,15,2419200.000000000000000000000000000000,717.921849808712067897431552410126,8,50536,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.085084999999999993969268530236,85085.000000000000000000000000000000,65586.199999999997089616954326629639,62799.000000000000000000000000000000,4454.511631800055511121172457933426,1960828.030317858094349503517150878906,4454.511631798727648856583982706070,1960828.030083085177466273307800292969,0.000234772916883230209350585938,0.000000001327862264588475227356,57138
5,STARLINK-30375          _SORCE                   ,SBO ANCAS,16,15,2419200.000000000000000000000000000000,718.773700190105500951176509261131,8,50476,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.078112000000000000876632100244,78112.000000000000000000000000000000,64376.900000000001455191522836685181,62769.000000000000000000000000000000,20.024559044318753109337194473483,44426.196226925858354661613702774048,20.024559044402408858331909868866,44426.196237603013287298381328582764,0.000010677154932636767625808716,0.000000000083655748994715395384,57153
6,STARLINK-30375          _SHIJIAN-6 01B (SJ-6 01B),SBO ANCAS,16,15,2419200.000000000000000000000000000000,718.773700190105500951176509261131,8,50476,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.088101999999999999757527291422,88102.000000000000000000000000000000,65691.399999999994179233908653259277,63171.000000000000000000000000000000,3925.820176489316054357914254069328,1756482.803412575507536530494689941406,3925.820176488790366420289501547813,1756482.803405127720907330513000488281,0.000007447786629199981689453125,0.000000000525687937624752521515,57566
7,STARLINK-30375          _JB-3 3 (ZY 2C)          ,SBO ANCAS,16,15,2419200.000000000000000000000000000000,713.241677062510802898032125085592,8,50866,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.084422999999999998044231119820,84423.000000000000000000000000000000,65958.699999999997089616954326629639,62875.000000000000000000000000000000,27.267855770578204754883699933998,1155396.860207298072054982185363769531,27.267855770344510801805881783366,1155396.860214520711451768875122070312,0.000007222639396786689758300781,0.000000000233693953077818150632,57438
8,STARLINK-30375          _HELIOS 2A               ,SBO ANCAS,16,15,2419200.000000000000000000000000000000,718.773700190105500951176509261131,8,50476,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.092489000000000001766586876784,92489.000000000000000000000000000000,65271.900000000001455191522836685181,62167.000000000000000000000000000000,11.237631470455939464159200724680,1043625.757329646032303571701049804688,11.237631470692655000220838701352,1043625.757331592263653874397277832031,0.000001946231350302696228027344,0.000000000236715536061637976673,57087
9,STARLINK-30375          _REIMEI (INDEX)          ,SBO ANCAS,16,15,2419200.000000000000000000000000000000,718.207182502749333252722863107920,8,50521,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.082659999999999997366550985589,82660.000000000000000000000000000000,69726.899999999994179233908653259277,62910.000000000000000000000000000000,4528.224695046053966507315635681152,696948.240921521210111677646636962891,4528.275769022558051801752299070358,694073.308393660350702702999114990234,2874.932527860859408974647521972656,0.051073976504085294436663389206,57129
10,STARLINK-30375          _SHIJIAN-6 02B (SJ-6 02B),SBO ANCAS,16,15,2419200.000000000000000000000000000000,718.773700190105500951176509261131,8,50476,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.076314000000000006829203869074,76314.000000000000000000000000000000,63600.800000000002910383045673370361,62099.000000000000000000000000000000,14.560677079722946558604235178791,306267.044084055523853749036788940430,14.560677079419633628276642411947,306267.044087649206630885601043701172,0.000003593682777136564254760742,0.000000000303312930327592766844,57040
