Test Name,Test ID,Algorithm Name,Degree,timeIntervalSizeSec,segmentSizeSec,Tmin Factor,numberOfPointsPerSegment,initialNumberOfPoints,Number of Points,runTimeSec,runTimeMicro,numberOfIterations,avgTimeMicro,minTimeMicro,TCA Distance,TCA Time,TOLd,TOLt
STARLINK-30375          _SURCAL 150B             ,1,ANCAS,15,2419200.000000000000000000000000000000,716.764153416276371899584773927927,0.125000000000000000000000000000,16,50626,50623,0.071601999999999998980371174184,71602.000000000000000000000000000000,10,56155.199999999997089616954326629639,53282.000000000000000000000000000000,26.161058898290630025940117775463,969048.642557339509949088096618652344,0.000000000000000000000000000000,0.000000000000000000000000000000
STARLINK-30375          _USA 119                 ,2,ANCAS,15,2419200.000000000000000000000000000000,718.773700190105500951176509261131,0.125000000000000000000000000000,16,50476,50473,0.077362000000000000210498285469,77362.000000000000000000000000000000,10,57168.800000000002910383045673370361,54876.000000000000000000000000000000,58.562899726352966922604537103325,1716001.556705839233472943305969238281,0.000000000000000000000000000000,0.000000000000000000000000000000
STARLINK-30375          _SWAS                    ,3,ANCAS,15,2419200.000000000000000000000000000000,717.762194048456535711011383682489,0.125000000000000000000000000000,16,50551,50548,0.080005000000000006665779039849,80005.000000000000000000000000000000,10,55622.599999999998544808477163314819,52861.000000000000000000000000000000,12335.940441434628155548125505447388,2417319.147796591743826866149902343750,0.000000000000000000000000000000,0.000000000000000000000000000000
STARLINK-30375          _PROBA-1                 ,4,ANCAS,15,2419200.000000000000000000000000000000,717.921849808712067897431552410126,0.125000000000000000000000000000,16,50536,50533,0.077646000000000006679989894565,77646.000000000000000000000000000000,10,55857.699999999997089616954326629639,53366.000000000000000000000000000000,4454.512107296383874199818819761276,1960828.030278905294835567474365234375,0.000000000000000000000000000000,0.000000000000000000000000000000
STARLINK-30375          _SORCE                   ,5,ANCAS,15,2419200.000000000000000000000000000000,718.773700190105500951176509261131,0.125000000000000000000000000000,16,50476,50473,0.083174999999999998934185896360,83175.000000000000000000000000000000,10,56334.099999999998544808477163314819,53282.000000000000000000000000000000,20.024547090426882078872949932702,44426.196071890328312292695045471191,0.000000000000000000000000000000,0.000000000000000000000000000000
STARLINK-30375          _SHIJIAN-6 01B (SJ-6 01B),6,ANCAS,15,2419200.000000000000000000000000000000,718.773700190105500951176509261131,0.125000000000000000000000000000,16,50476,50473,0.079990000000000005542233338929,79990.000000000000000000000000000000,10,56095.400000000001455191522836685181,53050.000000000000000000000000000000,3925.819794454068414779612794518471,1756482.803412146866321563720703125000,0.000000000000000000000000000000,0.000000000000000000000000000000
STARLINK-30375          _JB-3 3 (ZY 2C)          ,7,ANCAS,15,2419200.000000000000000000000000000000,713.241677062510802898032125085592,0.125000000000000000000000000000,16,50866,50863,0.078959000000000001406874616805,78959.000000000000000000000000000000,10,60144.900000000001455191522836685181,53515.000000000000000000000000000000,27.267868671152481141461976221763,1155396.860204286873340606689453125000,0.000000000000000000000000000000,0.000000000000000000000000000000
STARLINK-30375          _HELIOS 2A               ,8,ANCAS,15,2419200.000000000000000000000000000000,718.773700190105500951176509261131,0.125000000000000000000000000000,16,50476,50473,0.082813999999999998724575789311,82814.000000000000000000000000000000,10,55878.699999999997089616954326629639,52823.000000000000000000000000000000,11.237638931037441381022290443070,1043625.757423885632306337356567382812,0.000000000000000000000000000000,0.000000000000000000000000000000
STARLINK-30375          _REIMEI (INDEX)          ,9,ANCAS,15,2419200.000000000000000000000000000000,718.207182502749333252722863107920,0.125000000000000000000000000000,16,50521,50518,0.072760000000000005226929999935,72760.000000000000000000000000000000,10,56387.300000000002910383045673370361,53498.000000000000000000000000000000,4528.224696847890299977734684944153,696948.239151151850819587707519531250,0.000000000000000000000000000000,0.000000000000000000000000000000
STARLINK-30375          _SHIJIAN-6 02B (SJ-6 02B),10,ANCAS,15,2419200.000000000000000000000000000000,718.773700190105500951176509261131,0.125000000000000000000000000000,16,50476,50473,0.071474999999999996869171070557,71475.000000000000000000000000000000,10,55688.300000000002910383045673370361,52781.000000000000000000000000000000,14.560678937413738864847800869029,306267.044091854768339544534683227539,0.000000000000000000000000000000,0.000000000000000000000000000000
