Test ID,Test Name,Algorithm Name,numberOfPointsPerSegment,Catch Polynomial Degree,Time Interval[Sec],Segment Size[Sec],Tmin Factor,Number Of Input Points,Number Of Iterations,TOLd[Km],TOLt[Sec],Run Time[Sec],Run Time[Micro],Avg Run Time[Micro],Min Run Time[Micro],TCA Distance[Km],TCA[Sec],Real TCA Distance[Km],Real TCA[Sec],Error Time[Sec],Error Distance[Km],Number of Points Used
1,STARLINK-30375          _SURCAL 150B             ,CATCH,8,7,2419200.000000000000000000000000000000,358.382076708138185949792386963964,16,47251,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.121289999999999995039523525975,121290.000000000000000000000000000000,101172.800000000002910383045673370361,98633.000000000000000000000000000000,26.161069821267240342876903014258,969048.642342812847346067428588867188,26.161069819626920462951602530666,969048.642345219617709517478942871094,0.000002406770363450050354003906,0.000000001640319879925300483592,47251
2,STARLINK-30375          _USA 119                 ,CATCH,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.127508000000000010221157253909,127508.000000000000000000000000000000,100419.500000000000000000000000000000,97141.000000000000000000000000000000,58.562882347282645412178680999205,1716001.556708469521254301071166992188,58.562881873104316809985903091729,1716001.559193754335865378379821777344,0.002485284814611077308654785156,0.000000474178328602192777907476,47118
3,STARLINK-30375          _SWAS                    ,CATCH,8,7,2419200.000000000000000000000000000000,358.881097024228267855505691841245,16,47181,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.127971000000000001417532757841,127971.000000000000000000000000000000,101257.300000000002910383045673370361,97926.000000000000000000000000000000,12335.939036693565867608413100242615,2417319.147842430043965578079223632812,12335.939036648978799348697066307068,2417319.152527468744665384292602539062,0.004685038700699806213378906250,0.000000044587068259716033935547,47181
4,STARLINK-30375          _PROBA-1                 ,CATCH,8,7,2419200.000000000000000000000000000000,358.960924904356033948715776205063,16,47174,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.127745999999999998442135051846,127746.000000000000000000000000000000,101448.600000000005820766091346740723,98218.000000000000000000000000000000,4454.511631800773102440871298313141,1960828.030318159377202391624450683594,4454.511631798154667194467037916183,1960828.030343088787049055099487304688,0.000024929409846663475036621094,0.000000002618435246404260396957,47174
5,STARLINK-30375          _SORCE                   ,CATCH,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.127722000000000002195577053499,127722.000000000000000000000000000000,101471.500000000000000000000000000000,98258.000000000000000000000000000000,20.024559044049283329513855278492,44426.196226691885385662317276000977,20.024559044434820265223606838845,44426.196227602951694279909133911133,0.000000911066308617591857910156,0.000000000385536935709751560353,47118
6,STARLINK-30375          _SHIJIAN-6 01B (SJ-6 01B),CATCH,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.119722999999999996090238596480,119723.000000000000000000000000000000,100643.600000000005820766091346740723,98239.000000000000000000000000000000,3925.820176487684420862933620810509,1756482.803429960971698164939880371094,3925.820176488790366420289501547813,1756482.803405127953737974166870117188,0.000024833017960190773010253906,0.000000001105945557355880737305,47118
7,STARLINK-30375          _JB-3 3 (ZY 2C)          ,CATCH,8,7,2419200.000000000000000000000000000000,356.620838531255401449016062542796,16,47482,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.112445000000000003281819260792,112445.000000000000000000000000000000,100330.300000000002910383045673370361,98686.000000000000000000000000000000,27.267855771390500763118325266987,1155396.860218919580802321434020996094,27.267855770273047966156809707172,1155396.860214141430333256721496582031,0.000004778150469064712524414062,0.000000001117452796961515559815,47482
8,STARLINK-30375          _HELIOS 2A               ,CATCH,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.125404999999999988702370501414,125405.000000000000000000000000000000,100587.800000000002910383045673370361,97518.000000000000000000000000000000,11.237631466619388831418291374575,1043625.757329543703235685825347900391,17.675288854573974361983346170746,1046501.488261540420353412628173828125,2875.730931996717117726802825927734,6.437657387954585530565054796170,47118
9,STARLINK-30375          _REIMEI (INDEX)          ,CATCH,8,7,2419200.000000000000000000000000000000,359.103591251374666626361431553960,16,47153,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.128926000000000012812861882594,128926.000000000000000000000000000000,101457.500000000000000000000000000000,98080.000000000000000000000000000000,4528.224694973357145499903708696365,696948.239150402718223631381988525391,4528.224694972968791262246668338776,696948.239112718729302287101745605469,0.000037683988921344280242919922,0.000000000388354237657040357590,47153
10,STARLINK-30375          _SHIJIAN-6 02B (SJ-6 02B),CATCH,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.126288000000000011358025631125,126288.000000000000000000000000000000,104773.000000000000000000000000000000,97612.000000000000000000000000000000,14.560677079536377576118866272736,306267.044084386143367737531661987305,14.560677079141155942920704546850,306267.044077628932427614927291870117,0.000006757210940122604370117188,0.000000000395221633198161725886,47118
