Test ID,Test Name,Algorithm Name,numberOfPointsPerSegment,Catch Polynomial Degree,Time Interval[Sec],Segment Size[Sec],Tmin Factor,Number Of Input Points,Number Of Iterations,TOLd[Km],TOLt[Sec],Run Time[Sec],Run Time[Micro],Avg Run Time[Micro],Min Run Time[Micro],TCA Distance[Km],TCA[Sec],Real TCA Distance[Km],Real TCA[Sec],Error Time[Sec],Error Distance[Km],Number of Points Used
1,STARLINK-30375          _SURCAL 150B             ,ANCAS,8,7,2419200.000000000000000000000000000000,358.382076708138185949792386963964,16,47251,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.068158999999999997365662807169,68159.000000000000000000000000000000,52839.199999999997089616954326629639,49737.000000000000000000000000000000,26.161064905270190905639537959360,969048.642187914112582802772521972656,26.161069819629169330710283247754,969048.642345219501294195652008056641,0.000157305388711392879486083984,0.000004914358978425070745288394,47248
2,STARLINK-30375          _USA 119                 ,ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.080435000000000006492584248008,80435.000000000000000000000000000000,54332.500000000000000000000000000000,51241.000000000000000000000000000000,58.563047351860653577659832080826,1716001.556814712705090641975402832031,58.562881874095609191499534063041,1716001.559193757129833102226257324219,0.002379044424742460250854492188,0.000165477765044386160298017785,47116
3,STARLINK-30375          _SWAS                    ,ANCAS,8,7,2419200.000000000000000000000000000000,358.881097024228267855505691841245,16,47181,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.066048999999999996601829366227,66049.000000000000000000000000000000,51099.000000000000000000000000000000,49403.000000000000000000000000000000,12335.938764847925995127297937870026,2417319.147835136391222476959228515625,12335.939036648991532274521887302399,2417319.152527477126568555831909179688,0.004692340735346078872680664062,0.000271801065537147223949432373,47179
4,STARLINK-30375          _PROBA-1                 ,ANCAS,8,7,2419200.000000000000000000000000000000,358.960924904356033948715776205063,16,47174,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.072325000000000000399680288865,72325.000000000000000000000000000000,52114.800000000002910383045673370361,49811.000000000000000000000000000000,4454.513398379429418127983808517456,1960828.030617760494351387023925781250,4454.511631798727648856583982706070,1960828.030083085177466273307800292969,0.000534675316885113716125488281,0.001766580701769271399825811386,47173
5,STARLINK-30375          _SORCE                   ,ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.068293000000000006477485214873,68293.000000000000000000000000000000,52753.300000000002910383045673370361,49759.000000000000000000000000000000,20.024571307305535583509481512010,44426.196251233945076819509267807007,20.024559044351867953537293942645,44426.196217603130207862704992294312,0.000033630814868956804275512695,0.000012262953667629972187569365,47116
6,STARLINK-30375          _SHIJIAN-6 01B (SJ-6 01B),ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.065185999999999993947952248163,65186.000000000000000000000000000000,51185.699999999997089616954326629639,49562.000000000000000000000000000000,3925.820989136436310218414291739464,1756482.803237424930557608604431152344,3925.820176488790366420289501547813,1756482.803405127720907330513000488281,0.000167702790349721908569335938,0.000812647645943798124790191650,47116
7,STARLINK-30375          _JB-3 3 (ZY 2C)          ,ANCAS,8,7,2419200.000000000000000000000000000000,356.620838531255401449016062542796,16,47482,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.066839999999999996638244681435,66840.000000000000000000000000000000,51697.599999999998544808477163314819,49942.000000000000000000000000000000,27.267864598922418650772669934668,1155396.860205279197543859481811523438,27.267855770298691453490391722880,1155396.860214161919429898262023925781,0.000008882721886038780212402344,0.000008828623727197282278211787,47479
8,STARLINK-30375          _HELIOS 2A               ,ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.079521999999999995467625524270,79522.000000000000000000000000000000,52551.000000000000000000000000000000,49346.000000000000000000000000000000,11.237642703811490108023463108111,1043625.757490759482607245445251464844,11.237631469863751831894660426769,1043625.757331591914407908916473388672,0.000159167568199336528778076172,0.000011233947738276128802681342,47116
9,STARLINK-30375          _REIMEI (INDEX)          ,ANCAS,8,7,2419200.000000000000000000000000000000,359.103591251374666626361431553960,16,47153,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.067808999999999994279242798711,67809.000000000000000000000000000000,52870.800000000002910383045673370361,49970.000000000000000000000000000000,4528.223707073791047150734812021255,696948.239136563963256776332855224609,4528.224694972968791262246668338776,696948.239112718729302287101745605469,0.000023845233954489231109619141,0.000987899177744111511856317520,47152
10,STARLINK-30375          _SHIJIAN-6 02B (SJ-6 02B),ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.079485000000000000097699626167,79485.000000000000000000000000000000,53140.199999999997089616954326629639,49361.000000000000000000000000000000,14.560679423758621453544037649408,306267.044107224734034389257431030273,14.560677079480758067120405030437,306267.044087642629165202379226684570,0.000019582104869186878204345703,0.000002344277863386423632618971,47116
11,STARLINK-30375          _CUTE-1.7+APD II (CO-65) ,ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.066935999999999995502264482639,66936.000000000000000000000000000000,51492.199999999997089616954326629639,49623.000000000000000000000000000000,4776.370003998489664809312671422958,2417685.050961010158061981201171875000,4778.921576838100918394047766923904,2417696.012619529850780963897705078125,10.961658519692718982696533203125,2.551572839611253584735095500946,47116
12,STARLINK-30375          _CANX-2                  ,ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.075032000000000001471711641443,75032.000000000000000000000000000000,52230.599999999998544808477163314819,49641.000000000000000000000000000000,10.501219889680012187227475806139,2138213.005210117436945438385009765625,10.501222028051156343053662567399,2138213.005191613920032978057861328125,0.000018503516912460327148437500,0.000002138371144155826186761260,47116
13,STARLINK-30375          _SHIJIAN-6 03B (SJ-6 03B),ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.074717000000000005632827537738,74717.000000000000000000000000000000,52596.199999999997089616954326629639,49611.000000000000000000000000000000,3912.659338135656071244738996028900,1969919.996302207699045538902282714844,3912.658169168202675791690126061440,1969919.996198580367490649223327636719,0.000103627331554889678955078125,0.001168967453395453048869967461,47116
14,STARLINK-30375          _COSMO-SKYMED 3          ,ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.061559999999999996667110480075,61560.000000000000000000000000000000,50774.599999999998544808477163314819,49510.000000000000000000000000000000,9.313930670450393023429569439031,922993.632954832166433334350585937500,9.313926563757497945061913924292,922993.632981267641298472881317138672,0.000026435474865138530731201172,0.000004106692895078367655514739,47116
15,STARLINK-30375          _SPIRALE A               ,ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.082158999999999995922372875157,82159.000000000000000000000000000000,64011.099999999998544808477163314819,60849.000000000000000000000000000000,677.021232562496834361809305846691,350272.543397059605922549962997436523,677.020601614680344937369227409363,350272.556949156569316983222961425781,0.013552096963394433259963989258,0.000630947816489424440078437328,47116
16,STARLINK-30375          _SPIRALE B               ,ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.081511000000000000120792265079,81511.000000000000000000000000000000,63953.000000000000000000000000000000,61053.000000000000000000000000000000,10338.878517530314638861455023288727,2413743.085958647541701793670654296875,10338.877903239290390047244727611542,2413743.123350047972053289413452148438,0.037391400430351495742797851562,0.000614291024248814210295677185,47116
17,STARLINK-30375          _NANOSAT 1B              ,ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.068885000000000001785238623597,68885.000000000000000000000000000000,55235.500000000000000000000000000000,49957.000000000000000000000000000000,22.959852520363561723115708446130,2316384.103960083331912755966186523438,22.959858215294399741424058447592,2316384.104121658485382795333862304688,0.000161575153470039367675781250,0.000005694930838018308350001462,47116
18,STARLINK-30375          _APRIZESAT 3             ,ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.067456000000000002070343896321,67456.000000000000000000000000000000,51635.500000000000000000000000000000,49812.000000000000000000000000000000,41.222056397638581870523921679705,1101913.959452618611976504325866699219,41.222059120183878633270069258288,1101913.959615676430985331535339355469,0.000163057819008827209472656250,0.000002722545296762746147578582,47116
19,STARLINK-30375          _SBSS (USA 216)          ,ANCAS,8,7,2419200.000000000000000000000000000000,357.315462252542090482165804132819,16,47391,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.068526000000000003575806317713,68526.000000000000000000000000000000,53177.099999999998544808477163314819,49974.000000000000000000000000000000,38.708198146528815186684369109571,2166285.868120765313506126403808593750,38.708182559320761129129095934331,2166285.868312300182878971099853515625,0.000191534869372844696044921875,0.000015587208054057555273175240,47389
20,STARLINK-30375          _SHIJIAN-6 04A (SJ-6 04A),ANCAS,8,7,2419200.000000000000000000000000000000,357.656461519956167194322915747762,16,47349,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.062135999999999996790123191204,62136.000000000000000000000000000000,50909.599999999998544808477163314819,49618.000000000000000000000000000000,14.850110873234067199177843576763,112018.357571284490404650568962097168,14.850084552407162519216399232391,112018.357387148964335210621356964111,0.000184135526069439947605133057,0.000026320826904679961444344372,47347
21,STARLINK-30375          _SHIJIAN-6 04B (SJ-6 04B),ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.079476000000000004974687328740,79476.000000000000000000000000000000,52660.699999999997089616954326629639,49453.000000000000000000000000000000,19.920218228026026707766504841857,1599412.460107414750382304191589355469,19.920209377442741782715529552661,1599412.460224519483745098114013671875,0.000117104733362793922424316406,0.000008850583284925050975289196,47116
22,STARLINK-30375          _TACSAT 4                ,ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.070946999999999996178168260030,70947.000000000000000000000000000000,59566.800000000002910383045673370361,58240.000000000000000000000000000000,403.169273733876025289646349847317,107517.802770148788113147020339965820,403.170030606418890783970709890127,107517.810021492041414603590965270996,0.007251343253301456570625305176,0.000756872542865494324360042810,47116
23,STARLINK-30375          _NUSTAR                  ,ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.070443000000000005611511255665,70443.000000000000000000000000000000,52613.300000000002910383045673370361,49715.000000000000000000000000000000,5.334772634043691397209840943106,1540003.288750132545828819274902343750,5.334777552345826734381262212992,1540003.288784062024205923080444335938,0.000033929478377103805541992188,0.000004918302135337171421269886,47116
24,STARLINK-30375          _EXPRESS-MD2             ,ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.073206999999999994299670902365,73207.000000000000000000000000000000,53486.300000000002910383045673370361,51254.000000000000000000000000000000,195.375694339637902885442599654198,1876067.117273127427324652671813964844,195.374791622603765972598921507597,1876067.116394314914941787719726562500,0.000878812512382864952087402344,0.000902717034136912843678146601,47116
25,STARLINK-30375          _SMDC ONE 1.2            ,ANCAS,8,7,2419200.000000000000000000000000000000,357.748833743273848995158914476633,16,47335,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.079418000000000002480682326222,79418.000000000000000000000000000000,53418.199999999997089616954326629639,50495.000000000000000000000000000000,83.754860124867633430767455138266,1284186.925442276056855916976928710938,83.755030495543849156092619523406,1284186.925236310111358761787414550781,0.000205965945497155189514160156,0.000170370676215725325164385140,47332
26,STARLINK-30375          _CINEMA                  ,ANCAS,8,7,2419200.000000000000000000000000000000,355.140193640072141079144785180688,16,47678,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.072880000000000000337507799486,72880.000000000000000000000000000000,53079.300000000002910383045673370361,50837.000000000000000000000000000000,87.273709240214728311002545524389,11590.536379888868395937606692314148,87.273757788097697130069718696177,11590.536632846606153179891407489777,0.000252957737757242284715175629,0.000048547882968819067173171788,47677
27,STARLINK-30375          _AEROCUBE 4.5A           ,ANCAS,8,7,2419200.000000000000000000000000000000,353.834792714997888651851098984480,16,47860,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.070972999999999994424904059542,70973.000000000000000000000000000000,52982.000000000000000000000000000000,50951.000000000000000000000000000000,56.120084693490476013266743393615,1021495.347592317382805049419403076172,56.120022720106703673081938177347,1021495.347755158552899956703186035156,0.000162841170094907283782958984,0.000061973383772340184805216268,47857
28,STARLINK-30375          _ARIRANG-5 (KOMPSAT-5)   ,ANCAS,8,7,2419200.000000000000000000000000000000,358.929548137117762962589040398598,16,47181,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.067859000000000002650324404385,67859.000000000000000000000000000000,55319.500000000000000000000000000000,50258.000000000000000000000000000000,302.804286389345975294418167322874,1421631.101634926162660121917724609375,302.804210072705359380051959306002,1421631.101459334371611475944519042969,0.000175591791048645973205566406,0.000076316640615914366208016872,47179
29,STARLINK-30375          _CASSIOPE                ,ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.067438999999999998946620394236,67439.000000000000000000000000000000,52547.800000000002910383045673370361,50859.000000000000000000000000000000,158.490174293536568939089193008840,2216513.885788784828037023544311523438,158.490800641065021636677556671202,2216513.886908221989870071411132812500,0.001119437161833047866821289062,0.000626347528452697588363662362,47116
30,STARLINK-30375          _POPACS 1                ,ANCAS,8,7,2419200.000000000000000000000000000000,354.329616610098867113265441730618,16,47790,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.073279999999999997917221605803,73280.000000000000000000000000000000,54579.900000000001455191522836685181,51428.000000000000000000000000000000,73.684408435499278766656061634421,2161036.739802863448858261108398437500,73.684708263409021355982986278832,2161036.739393093157559633255004882812,0.000409770291298627853393554688,0.000299827909742589326924644411,47788
31,STARLINK-30375          _POPACS 2                ,ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.074501999999999998780531029752,74502.000000000000000000000000000000,53644.500000000000000000000000000000,51267.000000000000000000000000000000,30.471968580478183241666556568816,469525.444320541922934353351593017578,30.472228919455126572302106069401,469525.444146094319876283407211303711,0.000174447603058069944381713867,0.000260338976943330635549500585,47116
32,STARLINK-30375          _POPACS 3                ,ANCAS,8,7,2419200.000000000000000000000000000000,359.386850095052750475588254630566,16,47118,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.081933000000000005824674076393,81933.000000000000000000000000000000,54215.400000000001455191522836685181,51020.000000000000000000000000000000,155.819388096391605813550995662808,2051753.539211472263559699058532714844,155.820110510679484150386997498572,2051753.539653865620493888854980468750,0.000442393356934189796447753906,0.000722414287878336836001835763,47116
