Test ID,Test Name,Algorithm Name,numberOfPointsPerSegment,Catch Polynomial Degree,Time Interval[Sec],Segment Size[Sec],Tmin Factor,Number Of Input Points,Number Of Iterations,TOLd[Km],TOLt[Sec],Run Time[Sec],Run Time[Micro],Avg Run Time[Micro],Min Run Time[Micro],TCA Distance[Km],TCA[Sec],Real TCA Distance[Km],Real TCA[Sec],Error Time[Sec],Error Distance[Km],Number of Points Used
1,STARLINK-30375          _SURCAL 150B             ,CATCH,8,7,2419200.000000000000000000000000000000,716.764153416276371899584773927927,8,23626,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.081690999999999999725552868313,81691.000000000000000000000000000000,54523.900000000001455191522836685181,50832.000000000000000000000000000000,26.161069642614787511547547183000,969048.642347437678836286067962646484,26.161069820033215904686585417949,969048.642341978964395821094512939453,0.000005458714440464973449707031,0.000000177418428393139038234949,23626
2,STARLINK-30375          _USA 119                 ,CATCH,8,7,2419200.000000000000000000000000000000,718.773700190105500951176509261131,8,23556,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.049956000000000000405009359383,49956.000000000000000000000000000000,49685.000000000000000000000000000000,49501.000000000000000000000000000000,58.562881204611322516484506195411,1716001.556704418966546654701232910156,58.562881873104316809985903091729,1716001.559193754335865378379821777344,0.002489335369318723678588867188,0.000000668492994293501396896318,23556
3,STARLINK-30375          _SWAS                    ,CATCH,8,7,2419200.000000000000000000000000000000,717.762194048456535711011383682489,8,23591,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.071790000000000006585842982076,71790.000000000000000000000000000000,53063.000000000000000000000000000000,49676.000000000000000000000000000000,12335.939035576542664784938097000122,2417319.147834711708128452301025390625,12335.939036648991532274521887302399,2417319.152527477126568555831909179688,0.004692765418440103530883789062,0.000001072448867489583790302277,23591
4,STARLINK-30375          _PROBA-1                 ,CATCH,8,7,2419200.000000000000000000000000000000,717.921849808712067897431552410126,8,23584,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.050508999999999998342659068840,50509.000000000000000000000000000000,50386.599999999998544808477163314819,50249.000000000000000000000000000000,4454.511631798004600568674504756927,1960828.030313698574900627136230468750,4454.511631798727648856583982706070,1960828.030083085177466273307800292969,0.000230613397434353828430175781,0.000000000723048287909477949142,23584
5,STARLINK-30375          _SORCE                   ,CATCH,8,7,2419200.000000000000000000000000000000,718.773700190105500951176509261131,8,23556,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.078884999999999996789235012784,78885.000000000000000000000000000000,52785.400000000001455191522836685181,49736.000000000000000000000000000000,20.024559005269093603374130907468,44426.196227396751055493950843811035,20.024559044395463303089854889549,44426.196227602922590449452400207520,0.000000206171534955501556396484,0.000000039126369699715723982081,23556
6,STARLINK-30375          _SHIJIAN-6 01B (SJ-6 01B),CATCH,8,7,2419200.000000000000000000000000000000,718.773700190105500951176509261131,8,23556,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.049944000000000002281730360210,49944.000000000000000000000000000000,49916.699999999997089616954326629639,49802.000000000000000000000000000000,3925.820177270438762207049876451492,1756482.803435168694704771041870117188,3925.820176488790366420289501547813,1756482.803405127720907330513000488281,0.000030040973797440528869628906,0.000000781648395786760374903679,23556
7,STARLINK-30375          _JB-3 3 (ZY 2C)          ,CATCH,8,7,2419200.000000000000000000000000000000,713.241677062510802898032125085592,8,23738,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.072960999999999998077981899769,72961.000000000000000000000000000000,53887.599999999998544808477163314819,50558.000000000000000000000000000000,27.267855730046612450223619816825,1155396.860214166576042771339416503906,27.267855770298691453490391722880,1155396.860214161919429898262023925781,0.000000004656612873077392578125,0.000000040252079003266771906056,23738
8,STARLINK-30375          _HELIOS 2A               ,CATCH,8,7,2419200.000000000000000000000000000000,718.773700190105500951176509261131,8,23556,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.050275000000000000244249065418,50275.000000000000000000000000000000,50210.800000000002910383045673370361,50043.000000000000000000000000000000,11.237631496784453943860171420965,1043625.757330195396207273006439208984,11.237631469668814432338876940776,1043625.757325594313442707061767578125,0.000004601082764565944671630859,0.000000027115639511521294480190,23556
9,STARLINK-30375          _REIMEI (INDEX)          ,CATCH,8,7,2419200.000000000000000000000000000000,718.207182502749333252722863107920,8,23577,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.072939000000000003831601702586,72939.000000000000000000000000000000,53739.300000000002910383045673370361,50302.000000000000000000000000000000,4528.224694941950474458280950784683,696948.239151220070198178291320800781,4528.224694972968791262246668338776,696948.239112718729302287101745605469,0.000038501340895891189575195312,0.000000031018316803965717554092,23577
10,STARLINK-30375          _SHIJIAN-6 02B (SJ-6 02B),CATCH,8,7,2419200.000000000000000000000000000000,718.773700190105500951176509261131,8,23556,10,0.000000010000000000000000209226,0.000100000000000000004792173602,0.050336999999999999799715766358,50337.000000000000000000000000000000,50190.599999999998544808477163314819,50054.000000000000000000000000000000,14.560677441312504853954123973381,306267.044092082360293716192245483398,14.560677079140345924201938032638,306267.044077628874219954013824462891,0.000014453486073762178421020508,0.000000362172158929752185940742,23556
