Test Name,Test ID,Algorithm Name,Degree,timeIntervalSizeSec,segmentSizeSec,Tmin Factor,numberOfPointsPerSegment,initialNumberOfPoints,Number of Points,runTimeSec,runTimeMicro,numberOfIterations,avgTimeMicro,minTimeMicro,TCA Distance,TCA Time,TOLd,TOLt
CALSPHERE 1             _CALSPHERE 2             ,3190,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.019783999999999999502842129573,19784.000000000000000000000000000000,10,16024.600000000000363797880709171295,12247.000000000000000000000000000000,76.901469718695651067719154525548,2379289.916131889447569847106933593750,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _LCS 1                   ,3191,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.012524000000000000409894340692,12524.000000000000000000000000000000,10,12455.200000000000727595761418342590,12428.000000000000000000000000000000,1781.725710984185752749908715486526,954118.973615251481533050537109375000,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _TEMPSAT 1               ,3192,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.012585999999999999965361041632,12586.000000000000000000000000000000,10,12511.500000000000000000000000000000,12484.000000000000000000000000000000,118.212309208076021604938432574272,2171895.694716411177068948745727539062,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _CALSPHERE 4A            ,3193,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.018940999999999999503508263388,18941.000000000000000000000000000000,10,15291.000000000000000000000000000000,12551.000000000000000000000000000000,117.995522137847274279920384287834,837221.084983510663732886314392089844,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OPS 5712 (P/L 160)      ,3194,ANCAS,15,2419200.000000000000000000000000000000,2963.616450553603499429300427436829,0.500000000000000000000000000000,16,12241,12238,0.013431000000000000230149233005,13431.000000000000000000000000000000,10,13366.500000000000000000000000000000,13340.000000000000000000000000000000,284.619158005373208197852363809943,1720458.588177549187093973159790039062,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _LES-5                   ,3195,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.015410000000000000086597395921,15410.000000000000000000000000000000,10,15330.399999999999636202119290828705,15300.000000000000000000000000000000,32323.878031161650142166763544082642,604617.668535169563256204128265380859,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _SURCAL 159              ,3196,ANCAS,15,2419200.000000000000000000000000000000,3087.556734471434992883587256073952,0.500000000000000000000000000000,16,11746,11743,0.012786999999999999755306845373,12787.000000000000000000000000000000,10,12711.600000000000363797880709171295,12680.000000000000000000000000000000,84.567882909074270969540521036834,2416511.783019393216818571090698242188,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OPS 5712 (P/L 153)      ,3197,ANCAS,15,2419200.000000000000000000000000000000,3093.314389035855128895491361618042,0.500000000000000000000000000000,16,11731,11728,0.020577000000000001539435245945,20577.000000000000000000000000000000,10,15530.600000000000363797880709171295,12739.000000000000000000000000000000,69.864014241682752981432713568211,1611552.371454250300303101539611816406,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _SURCAL 150B             ,3198,ANCAS,15,2419200.000000000000000000000000000000,2924.244875748736831155838444828987,0.500000000000000000000000000000,16,12406,12403,0.013561999999999999402811035054,13562.000000000000000000000000000000,10,13504.200000000000727595761418342590,13450.000000000000000000000000000000,339.696230371003991876932559534907,138824.956916229828493669629096984863,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OPS 3811 (DSP 2)        ,3199,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.015235999999999999543476292274,15236.000000000000000000000000000000,10,15153.600000000000363797880709171295,15096.000000000000000000000000000000,35360.025681353821710217744112014771,22657.810127250166260637342929840088,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _RIGIDSPHERE 2 (LCS 4)   ,3200,ANCAS,15,2419200.000000000000000000000000000000,3009.336342704041726392460986971855,0.500000000000000000000000000000,16,12046,12043,0.013169000000000000150102152929,13169.000000000000000000000000000000,10,13140.899999999999636202119290828705,13066.000000000000000000000000000000,152.625447927055574837140738964081,70684.683229445072356611490249633789,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OSCAR 7 (AO-7)          ,3201,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.020233000000000000984101689028,20233.000000000000000000000000000000,10,15918.600000000000363797880709171295,12519.000000000000000000000000000000,471.573859992817347119853366166353,1285001.565594007493928074836730957031,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _STARLETTE               ,3202,ANCAS,15,2419200.000000000000000000000000000000,3125.166718511277395009528845548630,0.500000000000000000000000000000,16,11611,11608,0.012694000000000000422106793962,12694.000000000000000000000000000000,10,12609.899999999999636202119290828705,12567.000000000000000000000000000000,36.755854821851869473903207108378,1343413.332455685827881097793579101562,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _LAGEOS 1                ,3203,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.013899999999999999161781616408,13900.000000000000000000000000000000,10,13834.600000000000363797880709171295,13791.000000000000000000000000000000,4878.494789066631710738874971866608,175000.445173597865505144000053405762,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OPS 8701 (DSP 10)       ,3204,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.015225000000000000685562717706,15225.000000000000000000000000000000,10,15151.200000000000727595761418342590,15119.000000000000000000000000000000,35404.658941259927814826369285583496,51461.657650556880980730056762695312,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _PHASE 3B (AO-10)        ,3205,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.028333000000000000545563594301,28333.000000000000000000000000000000,10,21529.900000000001455191522836685181,17538.000000000000000000000000000000,3102.426158236271476198453456163406,1554575.002894153352826833724975585938,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _UOSAT 2 (UO-11)         ,3206,ANCAS,15,2419200.000000000000000000000000000000,2906.728742765697006689151749014854,0.500000000000000000000000000000,16,12481,12478,0.013445999999999999618971457949,13446.000000000000000000000000000000,10,13353.299999999999272404238581657410,13314.000000000000000000000000000000,369.236207512006217257294338196516,1882863.908860430354252457618713378906,0.000000000000000000000000000000,0.000000000000000000000000000000
